ages,sample_no,sample_index,mean_infor,mean_logfreq
33-39,100,67,3.3907215666072967,6.288520329886144
33-39,100,68,3.386970106090664,6.259713885471231
33-39,100,69,3.384613987664887,6.299939646993408
33-39,100,70,3.3718011441242592,6.302255361832324
33-39,100,71,3.374607356937636,6.297138132328096
33-39,100,72,3.4091380124457515,6.311101895067818
33-39,100,73,3.409793305169731,6.285766029463497
33-39,100,74,3.384568921455758,6.293640269961432
33-39,100,75,3.402844114058781,6.282300301513322
33-39,100,76,3.351281650958924,6.283078102634375
33-39,100,77,3.424417468130561,6.305156885265097
33-39,100,78,3.3955357862408464,6.299517009446572
33-39,100,79,3.374898865727545,6.312887997538601
33-39,100,80,3.39794190836667,6.274862239528136
33-39,100,81,3.4111367343308383,6.304918828908036
33-39,100,82,3.4052902724013068,6.295732248960623
33-39,100,83,3.401286132359961,6.281939788577546
33-39,100,84,3.3817150792663755,6.294990286604018
33-39,100,85,3.375483261368994,6.28474804408097
33-39,100,86,3.396237011524068,6.330576033932071
33-39,100,87,3.3858481255737285,6.290694787908274
33-39,100,88,3.380917754043251,6.312022425933115
33-39,100,89,3.3893462644720067,6.313652971041412
33-39,100,90,3.370875767262277,6.299095068889641
33-39,100,91,3.396268602333913,6.2944618127855
33-39,100,92,3.423266384368112,6.307089528425552
33-39,100,93,3.3812020053112897,6.337407483089004
33-39,100,94,3.421050998358996,6.306828684209553
33-39,100,95,3.4060374460903047,6.281456247223903
33-39,100,96,3.4117656018782214,6.307143669345462
33-39,100,97,3.4093012743410123,6.2997455259411135
33-39,100,98,3.397132335833132,6.299158108005138
33-39,100,99,3.4107272346165605,6.316967943210608
39-45,100,0,3.3909447556812164,6.2716712400400665
39-45,100,1,3.380301530955514,6.269135864599589
39-45,100,2,3.369663295919493,6.243883108454097
39-45,100,3,3.412261409105481,6.254674142418295
39-45,100,4,3.3878252823281856,6.307655710378919
39-45,100,5,3.373921216768028,6.2933245948687615
39-45,100,6,3.3981407745593466,6.263107361495407
39-45,100,7,3.378696186857731,6.2967906929939845
39-45,100,8,3.382327242106999,6.308891872014354
39-45,100,9,3.390071397669158,6.276646451066539
39-45,100,10,3.3942750244218227,6.259148969880518
39-45,100,11,3.3836810640060486,6.239206733307017
39-45,100,12,3.399920206708202,6.256610240779698
39-45,100,13,3.3898489278621997,6.267110618455494
39-45,100,14,3.398768281961355,6.245810211106409
39-45,100,15,3.4443096752808025,6.315296586194446
39-45,100,16,3.3999596629492914,6.267017130898262
39-45,100,17,3.3847050982054645,6.263165478051579
39-45,100,18,3.401676043031314,6.26708513523032
39-45,100,19,3.4029093495809977,6.250211023572974
39-45,100,20,3.3879508082071466,6.306058396837385
39-45,100,21,3.39542571306487,6.255071066019172
39-45,100,22,3.4175493206102043,6.268218573340726
39-45,100,23,3.397863703519395,6.253517613208009
39-45,100,24,3.3807286277027973,6.276720400242162
39-45,100,25,3.4045086313642274,6.262010245553109
39-45,100,26,3.375677357156127,6.302562172058323
39-45,100,27,3.392345120035467,6.2805615814563405
39-45,100,28,3.392011004742127,6.272988413925411
39-45,100,29,3.3976885397944177,6.268055684103176
39-45,100,30,3.3781657443169344,6.30713477947507
39-45,100,31,3.3629279111865835,6.258419180589698
39-45,100,32,3.390943410262663,6.250651298869687
39-45,100,33,3.3931114444686377,6.259244053177264
39-45,100,34,3.3952268571935966,6.288888250038971
39-45,100,35,3.4114772709308103,6.274931662249988
39-45,100,36,3.36011771850664,6.297982581446376
39-45,100,37,3.381313578469872,6.294572157900057
39-45,100,38,3.3885894092922237,6.308058149009222
39-45,100,39,3.371012171425233,6.315304630249668
39-45,100,40,3.402091277345464,6.260798933996456
39-45,100,41,3.3667502521603105,6.255899260449962
39-45,100,42,3.391002239914244,6.26004763507904
39-45,100,43,3.424372633260816,6.26040426139918
39-45,100,44,3.4045357031745387,6.27975487976024
39-45,100,45,3.3918381325211584,6.306759795372715
39-45,100,46,3.395741819795415,6.300049154869357
39-45,100,47,3.3843337791270334,6.258724723353503
39-45,100,48,3.420845679058254,6.27922294956677
39-45,100,49,3.390844540164777,6.262959183044612
39-45,100,50,3.412458514078377,6.27139232563806
39-45,100,51,3.375710863629179,6.26582974155652
39-45,100,52,3.363845870491778,6.304478630742034
39-45,100,53,3.394895213897649,6.308098921247273
39-45,100,54,3.371547605361971,6.259164422761628
39-45,100,55,3.38734837164073,6.281940893988536
39-45,100,56,3.4067183890778243,6.251220884253861
39-45,100,57,3.3697462595915906,6.2650116056666185
39-45,100,58,3.3783749336577515,6.298865128277657
39-45,100,59,3.3875103694293283,6.282027165008795
39-45,100,60,3.372857805503333,6.30442199473102
39-45,100,61,3.3791315774839097,6.263880110584879
39-45,100,62,3.3726755377058386,6.264448941035464
39-45,100,63,3.352043236881072,6.2868148545011096
39-45,100,64,3.391909847243816,6.297375757806125
39-45,100,65,3.394114964856208,6.275727329070988
39-45,100,66,3.3817715500216927,6.249951014340029
39-45,100,67,3.438364283941108,6.310374702505534
39-45,100,68,3.3563954986786024,6.266777849066479
39-45,100,69,3.399761257760942,6.29122857001674
39-45,100,70,3.390377321858258,6.28417358601875
39-45,100,71,3.392000792356081,6.2660157688503215
39-45,100,72,3.394406385648693,6.278526865388674
39-45,100,73,3.380345197195878,6.268805765011445
39-45,100,74,3.3740469936850777,6.25813660350048
39-45,100,75,3.4158776293258954,6.280430214132889
39-45,100,76,3.3679342964861783,6.316102394491702
39-45,100,77,3.391188245513065,6.285709168677857
39-45,100,78,3.373614076708132,6.259951163978013
39-45,100,79,3.38076182595549,6.260283016574436
39-45,100,80,3.3742558000931173,6.248965340937252
39-45,100,81,3.3792623856041586,6.252532721376613
39-45,100,82,3.4066819216124187,6.261043444481444
39-45,100,83,3.394840837809026,6.249916122113909
39-45,100,84,3.384363016863528,6.283688668077841
39-45,100,85,3.4337150489891317,6.28474511275541
39-45,100,86,3.401455900457631,6.309668981769414
39-45,100,87,3.400268499157676,6.273829880557556
39-45,100,88,3.3897321368398887,6.2873345247218575
39-45,100,89,3.403222329351662,6.282723703377346
39-45,100,90,3.382919872378241,6.309112112703249
39-45,100,91,3.417679645997029,6.291295332772421
39-45,100,92,3.3982963764749696,6.3093155657243
39-45,100,93,3.3927839199090237,6.25968429308631
39-45,100,94,3.3916472419443204,6.270885653705559
39-45,100,95,3.3929992743027797,6.247784971574939
39-45,100,96,3.404179748117272,6.28971191844315
39-45,100,97,3.37152526445162,6.262628221269056
39-45,100,98,3.405834252463968,6.2660797562047
39-45,100,99,3.421432051577898,6.310356366245828
45-51,100,0,3.2828282465341374,6.311108447757477
45-51,100,1,3.284004776474557,6.326894125365469
45-51,100,2,3.2916391793854074,6.32194558807839
45-51,100,3,3.2829798018890304,6.320898636932236
45-51,100,4,3.3163900118815737,6.334138109502593
45-51,100,5,3.2982887196918305,6.317503402991413
45-51,100,6,3.284021483826643,6.313454371089695
45-51,100,7,3.2979685521821094,6.3306874875658
45-51,100,8,3.2913621461045763,6.321411945598878
45-51,100,9,3.2928989604640546,6.327717395803304
45-51,100,10,3.292251922026712,6.30719108484145
45-51,100,11,3.297942722018853,6.307299080131801
45-51,100,12,3.2805991562028227,6.316365235130213
45-51,100,13,3.299318850510846,6.321032982010757
45-51,100,14,3.287630730118745,6.32578521051063
45-51,100,15,3.289665639020265,6.3399712576378935
45-51,100,16,3.295143773526975,6.303106005216643
45-51,100,17,3.3272390603630653,6.328636030055627
45-51,100,18,3.295792047156522,6.318738809262256
45-51,100,19,3.2762415944756937,6.309918169938479
45-51,100,20,3.311907260305143,6.341195393805044
45-51,100,21,3.289619792196514,6.321529488724379
45-51,100,22,3.298153668785836,6.313381016064149
45-51,100,23,3.282779855158279,6.308887904485918
45-51,100,24,3.295917628919588,6.309941463102251
45-51,100,25,3.323743776332445,6.320822376446132
45-51,100,26,3.302199956828832,6.333259895940629
45-51,100,27,3.294366092592794,6.30622534033395
45-51,100,28,3.2961501046496453,6.308188148495368
45-51,100,29,3.297327186864212,6.313689147032704
45-51,100,30,3.297122213095278,6.316025719488778
45-51,100,31,3.293213384887462,6.31180982018522
45-51,100,32,3.304194478315809,6.319081929859699
45-51,100,33,3.2961988897437764,6.339316578781572
45-51,100,34,3.302747259155797,6.333668615359518
45-51,100,35,3.2923428416838685,6.327164288366899
45-51,100,36,3.308501429509984,6.334485067197439
45-51,100,37,3.3048586929072665,6.329077427062288
45-51,100,38,3.2853326614728755,6.334837137488449
45-51,100,39,3.284354475709613,6.322487094351109
45-51,100,40,3.2979540615416085,6.322940845325456
45-51,100,41,3.3224109114306843,6.32713286472108
45-51,100,42,3.3062697495319795,6.324111098854164
45-51,100,43,3.293186507077168,6.31500973065168
45-51,100,44,3.301920447511588,6.316171330761828
45-51,100,45,3.289860273952338,6.321640475822818
45-51,100,46,3.283530896369829,6.315374849517272
45-51,100,47,3.2604701075604035,6.307235238590238
45-51,100,48,3.3074653284579543,6.31677996784881
45-51,100,49,3.322334640060552,6.326675093278708
45-51,100,50,3.299342988169059,6.323353475975744
45-51,100,51,3.28772050305141,6.323369798603753
45-51,100,52,3.266451271688464,6.335622027107295
45-51,100,53,3.3140076934149927,6.318270221495157
45-51,100,54,3.2702435521249007,6.321715173549313
45-51,100,55,3.2615964866622167,6.3305023260982605
45-51,100,56,3.2507957091989805,6.325971675654308
45-51,100,57,3.2839557422558068,6.344701394723996
45-51,100,58,3.3032035697380757,6.31619664354689
45-51,100,59,3.296603799113628,6.334207932563885
45-51,100,60,3.3034755539495184,6.318070059271811
45-51,100,61,3.275930938308391,6.336904288766538
45-51,100,62,3.3386586876836937,6.333310052018583
45-51,100,63,3.314177418525885,6.328759554903134
45-51,100,64,3.2984662714693656,6.334748642431749
45-51,100,65,3.319368382758233,6.309511586529842
45-51,100,66,3.2574114050600653,6.344771965974746
45-51,100,67,3.292011176874392,6.3031213535767145
45-51,100,68,3.274422871068001,6.325553547156965
45-51,100,69,3.3017921921854203,6.341450054848575
45-51,100,70,3.2955885516362478,6.339555842238774
45-51,100,71,3.305050745661436,6.308944176239584
45-51,100,72,3.30732708603738,6.33590199614551
45-51,100,73,3.238655831763382,6.326725212746986
45-51,100,74,3.3155431766520143,6.332082236500121
45-51,100,75,3.2454021779040487,6.314119860039717
45-51,100,76,3.295747084410261,6.333846231172339
45-51,100,77,3.2908149918892007,6.322691910023657
45-51,100,78,3.3010026927004192,6.329206304332382
45-51,100,79,3.287768672630166,6.338465160025777
45-51,100,80,3.2910584534950225,6.317776259659714
45-51,100,81,3.303140247132083,6.314008151780554
45-51,100,82,3.2927382261545515,6.312116758755425
45-51,100,83,3.280392412568187,6.307343115345234
45-51,100,84,3.299663918106225,6.312065486403029
45-51,100,85,3.2821811656238573,6.3163825824361695
45-51,100,86,3.299567065268284,6.317238805922551
45-51,100,87,3.279895959318776,6.350550477295627
45-51,100,88,3.3098120578630743,6.318110094639893
45-51,100,89,3.303646791692932,6.324250937523716
45-51,100,90,3.305813797459578,6.344290543375516
45-51,100,91,3.307995336352603,6.335409747535352
45-51,100,92,3.32297463992499,6.343405819999908
45-51,100,93,3.293601117916701,6.320120690284716
45-51,100,94,3.2506001333903543,6.331907184014847
45-51,100,95,3.3014097400421525,6.3337345372791365
45-51,100,96,3.286202172314706,6.338448755641005
45-51,100,97,3.298131634895346,6.325227027240191
45-51,100,98,3.282510725333515,6.333396836134667
45-51,100,99,3.281997010788437,6.3223509503912485
