ages,sample_no,sample_index,mean_infor,mean_logfreq
3-9,100,81,3.2882845077103946,6.292223021076764
3-9,100,82,3.2478458640572017,6.305822918984616
3-9,100,83,3.300136660627447,6.283424582870906
3-9,100,84,3.271809218109837,6.303448153827431
3-9,100,85,3.2663084504498365,6.293703430479399
3-9,100,86,3.2754946608292967,6.277765008832492
3-9,100,87,3.276073725183881,6.281098958863423
3-9,100,88,3.2536103579541065,6.265068396118463
3-9,100,89,3.257523547468035,6.280171355830435
3-9,100,90,3.2772636588807607,6.279569202203745
3-9,100,91,3.270365587481824,6.27765229332825
3-9,100,92,3.286607607501266,6.265601239787695
3-9,100,93,3.2561059480457386,6.2861897403046125
3-9,100,94,3.2710895224736225,6.277442626032041
3-9,100,95,3.2580042531559106,6.269206519884612
3-9,100,96,3.2559989622264283,6.279560820440168
3-9,100,97,3.283212390097036,6.27938735218499
3-9,100,98,3.273850117514801,6.305120592438561
3-9,100,99,3.2611971431238675,6.280770664155623
9-15,100,0,3.318109213310456,6.258967329324327
9-15,100,1,3.3211340340620263,6.266779717689217
9-15,100,2,3.366665908396421,6.298651302556051
9-15,100,3,3.318946333122274,6.29294123648284
9-15,100,4,3.3116931515345267,6.257692419518797
9-15,100,5,3.3056441203504114,6.261645343274096
9-15,100,6,3.326385468291335,6.291826905766163
9-15,100,7,3.301985298858122,6.266328252068987
9-15,100,8,3.3155364498048043,6.279306873080023
9-15,100,9,3.318275203356448,6.274385095789895
9-15,100,10,3.298384566556663,6.271181116788728
9-15,100,11,3.3118060302204304,6.288969463755143
9-15,100,12,3.332791439902974,6.283326151391706
9-15,100,13,3.325598262686883,6.27709009454156
9-15,100,14,3.304919417196132,6.263277212484873
9-15,100,15,3.3293749340759167,6.302549019922813
9-15,100,16,3.3161739929441234,6.283194815700056
9-15,100,17,3.322892033356276,6.273210357865915
9-15,100,18,3.3346817486935394,6.308135150145107
9-15,100,19,3.3225839368957666,6.285758216337841
9-15,100,20,3.345229671405473,6.288605363419053
9-15,100,21,3.319164433068857,6.292151728539684
9-15,100,22,3.3351353010336515,6.292996948073556
9-15,100,23,3.3363957122721515,6.269189606234041
9-15,100,24,3.342865953082515,6.289887907418316
9-15,100,25,3.314209543965062,6.26093983598791
9-15,100,26,3.3486505458228364,6.30229097417031
9-15,100,27,3.3272527893595147,6.310965127745676
9-15,100,28,3.346975456953865,6.286487535276848
9-15,100,29,3.34277199943967,6.272632111948332
9-15,100,30,3.3400937202468186,6.281406308764997
9-15,100,31,3.315654076101505,6.266009340849012
9-15,100,32,3.3258321799924278,6.284292140352342
9-15,100,33,3.339183167764078,6.292707742113064
9-15,100,34,3.3068733738014946,6.26927686555373
9-15,100,35,3.3416046548330374,6.270280867759383
9-15,100,36,3.3335468427620816,6.290049060501999
9-15,100,37,3.337960660370956,6.29313748423965
9-15,100,38,3.335314025195351,6.281998754448675
9-15,100,39,3.3116816682836334,6.248588062108953
9-15,100,40,3.3446033677842264,6.283437966400092
9-15,100,41,3.330476693591014,6.293171111558652
9-15,100,42,3.354551189812491,6.2901074279509
9-15,100,43,3.3151297948673526,6.257889828732651
9-15,100,44,3.3422785722385084,6.296789553005485
9-15,100,45,3.329565501963053,6.282397687855542
9-15,100,46,3.331236417681509,6.283299765322125
9-15,100,47,3.326714233658006,6.25849531421577
9-15,100,48,3.327169553442469,6.282649256900261
9-15,100,49,3.322124700706536,6.283158473136578
9-15,100,50,3.335697702618069,6.290108034778731
9-15,100,51,3.3549145718746805,6.29867460036824
9-15,100,52,3.3088758718103257,6.242651414265742
